#{"t_start": 1754093458.0675297, "env_id": "None"}
r,l,t
-3.203196,365,56.446403
-35.306329,365,56.685307
-37.276302,365,56.918307
13.743292,365,57.167324
24.35144,365,57.400304
12.108838,365,57.629654
-21.033831,365,57.87732
-11.609758,365,58.140322
5.418943,365,58.411346
33.015965,365,58.647347
-42.129022,365,58.886253
17.129698,365,59.140996
-41.819,365,59.388114
53.337619,365,59.620042
-103.358989,365,59.84804
-89.608335,365,60.095179
46.382106,365,60.337083
29.793171,365,60.570103
-95.700585,365,60.797103
-61.97874,365,61.0451
50.791959,365,61.274183
-40.116978,365,61.502104
-10.885429,365,61.744103
-34.003553,365,62.007149
-32.769419,365,62.240263
-54.311937,365,62.496368
-16.302014,365,62.793107
37.205924,365,63.04927
-48.514182,365,63.288665
-12.640956,365,63.535662
-39.419733,365,63.788234
-19.095097,365,64.050218
-44.916641,365,64.301133
23.693472,365,64.550033
45.366051,365,64.872385
-2.975411,365,65.145386
25.336927,365,65.443303
27.057244,365,65.709878
17.267227,365,65.974348
-0.343973,365,66.301832
67.347838,365,66.572813
27.776447,365,66.812863
54.304247,365,67.07287
18.333869,365,67.340936
16.97118,365,67.595786
27.653079,365,67.840567
-26.919591,365,68.09666
-7.765226,365,68.365671
39.376419,365,68.619585
-64.748998,365,68.863448
26.604891,365,69.102355
-84.582004,365,69.349316
6.357554,365,69.593312
46.636746,365,69.841786
-32.195894,365,70.090573
2.86053,365,70.349483
74.317847,365,70.597481
91.750441,365,70.853481
27.181301,365,71.103735
-31.461402,365,71.367737
34.930718,365,71.620819
-39.290903,365,71.850818
-7.458129,365,72.098663
3.37372,365,72.354877
-2.055282,365,72.602474
18.74682,365,72.858561
12.605961,365,73.109473
20.087973,365,73.365473
63.134823,365,73.614239
53.117921,365,73.857242
-29.548035,365,74.105341
81.351364,365,74.365345
60.089939,365,74.619354
77.088413,365,74.872356
80.783558,365,75.116364
59.833416,365,75.438371
2.732126,365,75.684181
-8.840284,365,75.938189
0.387254,365,76.179181
-2.110374,365,76.43958
52.379414,365,76.686593
49.511369,365,76.931361
39.532797,365,77.18336
61.822263,365,77.449889
91.858579,365,77.680889
53.550052,365,77.926312
53.854199,365,78.179311
-34.96971,365,78.440072
0.708246,365,78.677155
25.573248,365,78.917184
23.804416,365,79.167375
37.501597,365,79.43806
20.332821,365,79.687128
5.822559,365,79.943844
69.396475,365,80.193841
128.218712,365,80.553536
62.822017,365,80.838531
73.858064,365,81.336713
128.287259,365,81.700711
110.897722,365,82.036465
75.126435,365,82.334847
109.952086,365,82.603446
-26.48659,365,82.899171
68.996977,365,83.184186
31.256473,365,83.450223
30.038405,365,83.795856
27.666815,365,84.136044
89.86831,365,84.443841
57.15314,365,84.703386
43.416504,365,84.967678
95.950024,365,85.227677
-9.930423,365,85.50068
36.246433,365,85.757771
65.389103,365,86.004735
141.391489,365,86.257729
118.270387,365,86.514973
115.439963,365,86.771169
125.816865,365,87.033168
98.325723,365,87.285173
33.980458,365,87.547167
75.289911,365,87.803156
64.366429,365,88.051156
-0.602733,365,88.330914
58.503558,365,88.629858
104.168968,365,88.924156
47.777254,365,89.210437
55.422998,365,89.487431
33.506845,365,89.776935
50.79563,365,90.032945
72.829416,365,90.280294
69.498358,365,90.539048
144.541373,365,90.809046
113.089678,365,91.076062
128.288764,365,91.322059
51.204831,365,91.574063
41.966846,365,91.84453
56.220181,365,92.104444
27.694962,365,92.353443
101.779873,365,92.629627
55.056539,365,92.910628
157.457952,365,93.167196
9.796233,365,93.422049
55.930611,365,93.67705
98.084156,365,93.938028
111.948401,365,94.198002
35.327919,365,94.457984
45.046972,365,94.712065
78.205659,365,94.986387
66.311267,365,95.246296
144.838293,365,95.5083
